Title,URL,Abstract,Biomarkers,Has_Numerical_Data,Date_Retrieved,Source,Paper_ID
Relationship between the systemic immune-inflammatory index and overactive bladder risk: A cross-sectional assessment involving United States Adults.,https://pubmed.ncbi.nlm.nih.gov/40333820/,"Abstract
        
      



          Aims:
        
      
      This study aimed to evaluate the association between the systemic immune-inflammatory index (SII) and the risk of overactive bladder (OAB) in the adult United States population.
    


          Methods:
        
      
      Data from the National Health and Nutrition Examination Survey (NHANES) 2005-2010 were analyzed. A non-pregnant cohort aged ≥20 years with available SII and OAB data was included. Weighted univariate and mult...",None detected,True,2025-05-07,pubmed,d6a5d51e7726b303603f176cdabaefd5
Serum uric acid level as a prognostic biomarker in critically ill patients with sepsis-associated acute kidney injury: A retrospective single-center study.,https://pubmed.ncbi.nlm.nih.gov/40333671/,"Abstract
        
      



          Background:
        
      
      The predictive value of serum uric acid (SUA) for clinical outcomes in patients with sepsis-associated acute kidney injury (SA-AKI) remained unclear. Therefore, this study aimed to evaluate the clinical significance of SUA in predicting all-cause mortality among critically ill patients diagnosed with SA-AKI.
    


          Methods:
        
      
      This retrospective study examined 483 patients with SA-AKI at the Affi...",uric acid,True,2025-05-07,pubmed,fb4a20bd5373cdf6b0ac8f5e33adf531
[Inflammatory and clinical markers predicting mortality in neonates under 1500 g].,https://pubmed.ncbi.nlm.nih.gov/40332825/,"Abstract
        
          
            in
            
              
                
                  
                    English, 
                  

                    Spanish
                  





          Background:
        
      
      Early neonatal mortality occurs within 7 days of life. Clinical variables, inflammatory markers and CRIB (Clinical Risk Index for Babies) could be useful to identify mortality risk.
    


          Objective:
        
      
      To assess the ...",crp,True,2025-05-07,pubmed,7d1117d72d91f4055a01ba9d028dad03
Genetic overlap and immunological pathways in asthma-obstructive sleep apnea coexistence.,https://pubmed.ncbi.nlm.nih.gov/40332677/,"Abstract
        
      



          Purpose:
        
      
      Obstructive sleep apnea (OSA) and asthma are connected through similar epidemiology, clinical symptoms, pathophysiological features, and risk factors. However, the shared genetic basis of these conditions remains poorly understood. This study sought to identify risk genes that contribute to both OSA and asthma and to explore their associated biological pathways.
    


          Methods:
        
      
      This study was con...",None detected,True,2025-05-07,pubmed,3d7e95d86b3c0581e11184dfa8868eba
"Automated Detection of Persistent Inflammatory Biomarkers in
  Post-COVID-19 Patients Using Machine Learning Techniques",http://arxiv.org/abs/2309.15838v1,"The COVID-19 pandemic has left a lasting impact on individuals, with many
experiencing persistent symptoms, including inflammation, in the post-acute
phase of the disease. Detecting and monitoring these inflammatory biomarkers is
critical for timely intervention and improved patient outcomes. This study
employs machine learning techniques to automate the identification of
persistent inflammatory biomarkers in 290 post-COVID-19 patients, based on
medical data collected from hospitals in Iraq. The...",interleukin-6,True,2025-05-07,arxiv,3350f2563e3111d08a905d04e89b8b98
"Estimating Discontinuous Time-Varying Risk Factors and Treatment
  Benefits for COVID-19 with Interpretable ML",http://arxiv.org/abs/2211.08991v1,"Treatment protocols, disease understanding, and viral characteristics changed
over the course of the COVID-19 pandemic; as a result, the risks associated
with patient comorbidities and biomarkers also changed. We add to the
conversation regarding inflammation, hemostasis and vascular function in
COVID-19 by performing a time-varying observational analysis of over 4000
patients hospitalized for COVID-19 in a New York City hospital system from
March 2020 to August 2021. To perform this analysis, w...",None detected,True,2025-05-07,arxiv,d91ff40bf57689671350b08f60243829
"Association between nutritional factors, inflammatory biomarkers and
  cancer types: an analysis of NHANES data using machine learning",http://arxiv.org/abs/2504.13978v1,"Background. Diet and inflammation are critical factors influencing cancer
risk. However, the combined impact of nutritional status and inflammatory
biomarkers on cancer status and type, using machine learning (ML), remains
underexplored.
  Objectives. This study investigates the association between nutritional
factors, inflammatory biomarkers, and cancer status, and whether these
relationships differ across cancer types using National Health and Nutrition
Examination Survey (NHANES) data.
  Meth...",crp,True,2025-05-07,arxiv,ae37abab54f10d00a1cd782f1e44ee08
Multimodal AI-driven Biomarker for Early Detection of Cancer Cachexia,http://arxiv.org/abs/2503.06797v1,"Cancer cachexia is a multifactorial syndrome characterized by progressive
muscle wasting, metabolic dysfunction, and systemic inflammation, leading to
reduced quality of life and increased mortality. Despite extensive research, no
single definitive biomarker exists, as cachexia-related indicators such as
serum biomarkers, skeletal muscle measurements, and metabolic abnormalities
often overlap with other conditions. Existing composite indices, including the
Cancer Cachexia Index (CXI), Modified C...",None detected,True,2025-05-07,arxiv,54d57c4bda5498475d7deca49c5740f8
Neuroretinitis and chorioretinitis in a cat-scratched young boy: a case report.,https://pubmed.ncbi.nlm.nih.gov/40330972/,"Abstract
        
      


      
      Neuroretinitis is an inflammatory type of optic nerve damage evidenced by the appearance of papillary edema. It also involves inflammation of the retinal layers, as evidenced by the thickening of these layers and the presence of intra- and subretinal fluid. Chorioretinitis is a condition in which inflammation of the posterior component of the uvea, the choroid, leads to further damage to the retina, causing it to become inflamed. The most common causes of ...",None detected,True,2025-05-07,pubmed,e91ea5cd4e3163256542d8c28a1ccfad
Comparison of Laparoscopic Cholecystectomy Outcome with Laparoscopic <em>Versus </em>Endoscopic Bile Duct Exploration in Elderly Patients with Cholecystolithiasis and Choledocholithiasis.,https://pubmed.ncbi.nlm.nih.gov/40325570/,"Abstract
        
      



          Objective:
        
      
      To evaluate the efficacy and safety of minimally invasive surgery in elderly patients with cholecystolithiasis and choledocholithiasis and its effects on liver function and stress response.
    


          Study design:
        
      
      Comparative observational study. Place and Duration of the Study: Department of Hepatobiliary Surgery, Anyang City People's Hospital, Xinxiang Medical College, Anyang, China, from August...","cortisol, crp, il-6, interleukin-6",True,2025-05-07,pubmed,01bd418a07a33a5a4431f23dd78d247e
"Review on Classification Techniques used in Biophysiological Stress
  Monitoring",http://arxiv.org/abs/2210.16040v1,"Cardiovascular activities are directly related to the response of a body in a
stressed condition. Stress, based on its intensity, can be divided into two
types i.e. Acute stress (short-term stress) and Chronic stress (long-term
stress). Repeated acute stress and continuous chronic stress may play a vital
role in inflammation in the circulatory system and thus leads to a heart attack
or to a stroke. In this study, we have reviewed commonly used machine learning
classification techniques applied t...",cortisol,True,2025-05-07,arxiv,d9c50e6349f7522492dbe9bfae8b84f8
"Novel Nongenomic Signaling by Glucocorticoid May Involve Changes to
  Liver Membrane Order in Rainbow Trout",http://arxiv.org/abs/1704.08321v1,"Stress-induced glucocorticoid elevation is a highly conserved response among
vertebrates. This facilitates stress adaptation and the mode of action involves
activation of the intracellular glucocorticoid receptor leading to the
modulation of target gene expression. However, this genomic effect is slow
acting and, therefore, a role for glucocorticoid in the rapid response to
stress is unclear. Here we show that stress levels of cortisol, the primary
glucocorticoid in teleosts, rapidly fluidizes r...",cortisol,True,2025-05-07,arxiv,863627bdf76a878b05abb0b0c144344f
"How to disentangle psychobiological stress reactivity and recovery: A
  comparison of model-based and non-compartmental analyses of cortisol
  concentrations",http://arxiv.org/abs/1708.08504v2,"This article seeks to address the prevailing issue of how to measure specific
process components of psychobiological stress responses. Particularly the
change of cortisol secretion due to stress exposure has been discussed as an
endophenotype of many psychosomatic health outcomes. To assess its process
components, a large variety of non-compartmental parameters (i.e., composite
measures of substance concentrations at different points in time) like the area
under the concentration-time curve (AUC...",cortisol,True,2025-05-07,arxiv,b0fe99308d7cdc8d91137fdc7192541f
